编号,标题,,机构,难度,学时,热度,语言,开课日期,副标题,学科
13245,前端开发工程师,,网易,简单（初级）,5 个月,"热度 12,237",中文,,"经典课程,微专业",计算机
18344,产品经理,,网易,普通（中级）,2 个月,"热度 4,618",中文,,"经典课程,微专业",商业管理
15430,交互设计师,,浙江大学 & 网易,简单（初级）,4 个月,"热度 3,702",中文,1月23日,微专业,计算机
16582,UI设计师,,浙江大学 & 网易,简单（初级）,4 个月,"热度 7,780",中文,,"经典课程,微专业",计算机
13744,高级转换器控制技术,,科罗拉多大学波德分校,普通（中级）,31 个小时,热度 576,英语,,,电子
9776,图形设计基础,,加州艺术学院,简单（初级）,14 个小时,"热度 1,383",英语,,,艺术
19027,图像制作概论,,加州艺术学院,简单（初级）,11 个小时,热度 677,英语,,,艺术
6462,微观经济学：市场的力量,,宾夕法尼亚大学,普通（中级）,14 个小时,"热度 1,271","英语, 其他",,,经济
1983,微观经济学：当市场失灵时,,宾夕法尼亚大学,普通（中级）,12 个小时,热度 708,"英语, 其他",,,经济
10847,西方文学经典鉴赏,,北京师范大学,简单（初级）,19 周,"热度 1,607",中文,,国家精品,文学
6565,体育与社会,,杜克大学,简单（初级）,12 个小时,热度 566,英语,,,社会
18045,理解语言：教与学,,英国南安普顿大学,普通（中级）,4 周,热度 676,英语,4月4日,,语言
9832,佛教文化,,武汉大学,简单（初级）,16 周,"热度 1,318",中文,,国家精品,宗教
17333,生物印刷：3D打印身体器官,,澳大利亚伍伦贡大学,简单（初级）,4 周,热度 560,英语,1月28日,,计算机
11450,中级财务会计（一）,,哈尔滨工业大学,普通（中级）,18 周,"热度 2,385",中文,,,金融
4844,宇宙新概念,,武汉大学,简单（初级）,15 周,热度 716,中文,1月22日,国家精品,物理
14094,传感器技术,,武汉大学,难（高级）,12 周,"热度 1,338",中文,,国家精品,电子
7048,陶瓷工艺学,,福州大学,简单（初级）,14 周,热度 505,中文,,国家精品,工程
19093,大观与微观：红楼梦1-40回,,台湾清华大学,简单（初级）,7 周,"热度 1,769",中文,,,文学
19054,感觉与知觉,,国立清华大学,简单（初级）,7 周,热度 593,中文,,,生物
15473,营养学,,武汉大学,简单（初级）,12 周,"热度 2,101",中文,,国家精品,医学健康
6012,管理心理学（下）,,电子科技大学,普通（中级）,8 周,热度 747,中文,,国家精品,心理
9100,管理心理学（上）,,电子科技大学,普通（中级）,8 周,"热度 1,319",中文,,国家精品,心理
11020,大历史：连接知识,,澳大利亚麦考瑞大学,简单（初级）,16 个小时,热度 577,"英语, 其他",,,历史
10189,编剧概论,,东英吉利大学,简单（初级）,2 周,"热度 1,059",英语,2月11日,,艺术
275,员工管理,,密歇根大学,简单（初级）,16 个小时,热度 403,"英语, 其他",,,商业管理
19172,全球资本市场的作用,,墨尔本大学,普通（中级）,13 个小时,热度 383,英语,,,金融
8948,社会化商业,,美国西北大学,简单（初级）,5 个小时,热度 451,英语,,,社会
2923,物联网概论,,国立清华大学,简单（初级）,10 周,"热度 2,153",中文,,,计算机
7134,财务管理,,国立清华大学,简单（初级）,9 周,"热度 2,607",中文,,,金融
8674,数据结构,,国立清华大学,难（高级）,9 周,"热度 1,285",中文,,,计算机
17748,如何写好科研论文,,清华大学,简单（初级）,13 周,"热度 2,284",中文,,,语言
9661,市场营销概论,,宾夕法尼亚大学,简单（初级）,13 个小时,"热度 1,179","中文, 英语, 日语, 其他",,,商业管理
18021,利用Web技术进行多平台移动应用开发：Ionic和Cordova,,香港科技大学,普通（中级）,26 个小时,热度 896,英语,,,计算机
3238,人力资源分析,,宾夕法尼亚大学,简单（初级）,10 个小时,"热度 1,495","中文, 英语",,,商业管理
9858,运营分析,,宾夕法尼亚大学,普通（中级）,12 个小时,热度 699,"中文, 英语",,,商业管理
1963,利用 MySQL 管理大数据,,杜克大学,普通（中级）,18 个小时,"热度 1,325","中文, 英语, 韩语, 俄语",,,计算机
7115,Hadoop平台和应用框架,,加州大学圣地亚哥分校,普通（中级）,20 个小时,热度 926,英语,,,计算机
3159,基于大数据的机器学习,,加州大学圣地亚哥分校,简单（初级）,16 个小时,热度 795,英语,,,计算机
2833,计算机专业导论,,哈尔滨工业大学,简单（初级）,18 周,"热度 1,256",中文,,国家精品,计算机
11815,外贸单证操作,,浙江金融职业学院,普通（中级）,18 周,"热度 1,506",中文,,国家精品,商业管理
15929,人人爱设计（上）,,山东大学,简单（初级）,11 周,"热度 3,053",中文,,国家精品,工程
8001,电子游戏中的世界设计,,加州艺术学院,简单（初级）,11 个小时,热度 770,英语,,,计算机
18023,大数据集成与处理,,加州大学圣地亚哥分校,简单（初级）,19 个小时,"热度 1,199",英语,,,计算机
4703,软件改进的评论和指标,,加拿大阿尔伯塔大学,简单（初级）,8 个小时,热度 375,英语,,,计算机
11743,软件产品的敏捷规划,,加拿大阿尔伯塔大学,简单（初级）,15 个小时,热度 528,英语,,,计算机
19686,客户要求与软件需求,,加拿大阿尔伯塔大学,简单（初级）,14 个小时,热度 316,"英语, 韩语",,,计算机
2766,软件开发过程与敏捷开发实践,,加拿大阿尔伯塔大学,简单（初级）,8 个小时,热度 570,英语,,,计算机
7459,软件产品管理导论,,加拿大阿尔伯塔大学,简单（初级）,5 个小时,热度 653,英语,,,计算机
7692,估值原则：货币的时间价值,,密歇根大学,普通（中级）,24 个小时,热度 513,"英语, 韩语",,,金融
12793,激励团队成员,,密歇根大学,简单（初级）,19 个小时,热度 739,"中文, 英语, 俄语, 其他",,,商业管理
1014,电气化：电子电气工程导论,,英国利物浦大学,简单（初级）,6 周,热度 615,英语,,,电子
556,金融市场与机构,,高等经济学院,普通（中级）,26 个小时,热度 756,"中文, 俄语",,,金融
19511,生活中的数据科学,,约翰霍普金斯大学,简单（初级）,6 个小时,热度 805,英语,,,计算机
12153,数据分析管理,,约翰霍普金斯大学,简单（初级）,7 个小时,热度 987,"英语, 日语",,,计算机
859,构建数据科学团队,,约翰霍普金斯大学,简单（初级）,4 个小时,热度 808,英语,,,计算机
7378,数据科学的速成课,,约翰霍普金斯大学,简单（初级）,4 个小时,热度 919,"中文, 英语, 俄语, 其他",,,计算机
18218,流行病学基础,,北京大学,普通（中级）,17 周,"热度 1,041",中文,,国家精品,医学健康
9214,宝石加工工艺学,,金陵科技学院,简单（初级）,12 周,热度 695,中文,,国家精品,工程
14385,微积分（二）,,哈尔滨工业大学,简单（初级）,17 周,"热度 1,250",中文,,国家精品,数学与统计
15368,中药安全用药导论,,北京中医药大学,简单（初级）,16 周,热度 959,中文,,国家精品,医学健康
12705,针灸学导论,,北京中医药大学,普通（中级）,14 周,"热度 1,177",中文,,,医学健康
12863,聆听的重要性,,美国西北大学,简单（初级）,11 个小时,热度 473,英语,,,社会
14111,什么是社交？,,美国西北大学,简单（初级）,9 个小时,热度 783,"英语, 西班牙语, 其他",,,社会
17965,商业智能的概念、工具与应用,,科罗拉多大学系统,难（高级）,15 个小时,热度 355,"中文, 英语",,,计算机
8162,关系数据库支持的数据仓库,,科罗拉多大学系统,难（高级）,17 个小时,热度 381,英语,,,计算机
3507,数据仓库的概念、设计与数据整合,,科罗拉多大学系统,难（高级）,19 个小时,热度 418,英语,,,计算机
10604,数据库管理精要,,科罗拉多大学系统,普通（中级）,30 个小时,热度 584,"中文, 英语, 韩语",,,计算机
5463,神奇的人类语言：语言学概论,,荷兰莱顿大学,简单（初级）,25 个小时,"热度 1,080","英语, 其他",,,社会
10829,游戏设计原理,,密歇根州立大学,普通（中级）,18 个小时,热度 901,英语,,,计算机
3583,机器学习基础：案例研究方法,,华盛顿大学,普通（中级）,22 个小时,"热度 1,377","中文, 英语, 韩语, 其他",,,计算机
18489,推论统计,,阿姆斯特丹大学,简单（初级）,42 个小时,热度 525,英语,,,社会
3171,统计基础,,阿姆斯特丹大学,简单（初级）,37 个小时,"热度 1,114",英语,,,数学与统计
4158,定性研究方法,,阿姆斯特丹大学,普通（中级）,29 个小时,热度 513,"英语, 其他",,,社会
9142,数据结构和性能,,加州大学圣地亚哥分校,普通（中级）,28 个小时,热度 541,英语,,,计算机
3443,物联网：设置 DragonBoard™ 开发平台,,加州大学圣地亚哥分校,普通（中级）,20 个小时,热度 306,英语,,,计算机
1534,CSS3 入门,,密歇根大学,简单（初级）,18 个小时,热度 631,英语,,,计算机
4549,HTML5 入门,,密歇根大学,简单（初级）,10 个小时,"热度 1,916",英语,,,计算机
19238,客户分析,,宾夕法尼亚大学,简单（初级）,12 个小时,"热度 1,096","中文, 英语, 西班牙语",,,商业管理
12308,高级写作,,加州大学尔湾分校,简单（初级）,15 个小时,热度 770,"中文, 英语, 其他",,,语言
10940,物联网：我们从何而来？,,加州大学圣地亚哥分校,普通（中级）,9 个小时,热度 670,"英语, 韩语",,,互联网
14096,Arduino 平台和 C 编程,,加州大学尔湾分校,简单（初级）,11 个小时,"热度 1,166","英语, 其他",,,计算机
12018,物联网与嵌入式系统概论,,加州大学尔湾分校,简单（初级）,14 个小时,"热度 1,084","英语, 其他",,,计算机
1295,Rails 的 Active Record 与 Action Pack,,约翰霍普金斯大学,普通（中级）,18 个小时,热度 291,英语,,,计算机
6458,Ruby on Rails：概述,,约翰霍普金斯大学,普通（中级）,17 个小时,热度 390,英语,,,计算机
1784,有限元法在物理问题中的应用,,密歇根大学,普通（中级）,25 个小时,热度 906,英语,1月7日,,物理
16253,企业战略分析基础,,ESSEC商学院,难（高级）,15 个小时,热度 339,英语,,,商业管理
7781,天体生物学和寻找外星生命,,爱丁堡大学,简单（初级）,15 个小时,热度 480,"英语, 德语, 俄语, 其他",,,生物
1702,市场营销专业人士所需的数字分析：理论市场分析,,伊利诺伊大学香槟分校,简单（初级）,14 个小时,热度 529,英语,,,商业管理
4358,大数据导论,,加州大学圣地亚哥分校,简单（初级）,16 个小时,热度 981,"英语, 韩语, 其他",,,计算机
10783,使用 Excel 分析数据,,杜克大学,简单（初级）,27 个小时,"热度 1,704",英语,,,计算机
7970,电子游戏中的故事情节与叙事概念,,加州艺术学院,简单（初级）,14 个小时,热度 522,"中文, 英语",,,计算机
1765,实用预测分析：模型与方法,,华盛顿大学,普通（中级）,13 个小时,热度 444,"英语, 韩语",,,计算机
16766,大规模数据处理：系统与算法,,华盛顿大学,普通（中级）,21 个小时,热度 580,英语,,,计算机
17352,面向对象 Java 程序设计,,美国加州大学圣地亚哥分校,普通（中级）,25 个小时,"热度 1,591","中文, 英语, 韩语, 德语",,,计算机
7792,人人理财：智能决策工具,,密歇根大学,简单（初级）,6 周,热度 513,英语,,,金融
79,欠驱动机器人,,麻省理工学院,普通（中级）,11 周,"热度 1,282",英语,4月4日,,计算机
11345,HTML5 应用和游戏,,W3C （万维网联盟）,难（高级）,4 周,热度 791,英语,,,计算机
6346,HTML5 编程基础和最佳实践,,W3C （万维网联盟）,普通（中级）,6 周,热度 955,英语,,,计算机
8484,品牌管理：协调经营、品牌和行为,,伦敦大学,简单（初级）,24 个小时,热度 618,英语,,,商业管理
6855,电影产业,,英国开放大学,普通（中级）,6 周,热度 536,英语,6月3日,,商业管理
2446,使用 Swift 进行 iOS 开发,,加州大学尔湾分校,简单（初级）,33 个小时,热度 781,英语,,,计算机
9680,游戏、传感器与媒体,,加州大学尔湾分校,简单（初级）,23 个小时,热度 575,英语,,,计算机
1485,iOS 用户界面设计最佳实践,,加州大学尔湾分校,简单（初级）,23 个小时,热度 749,英语,,,计算机
1180,iOS 应用的网络与安全,,加州大学尔湾分校,简单（初级）,23 个小时,热度 575,英语,,,计算机
16445,Objective-C App 开发基础,,加州大学尔湾分校,简单（初级）,19 个小时,热度 710,英语,,,计算机
6204,睡眠：神经生物学、医学和社会学,,密歇根大学,简单（初级）,22 个小时,热度 545,英语,1月14日,,生物
10516,Ableton Live 入门,,伯克利音乐学院,简单（初级）,14 个小时,热度 707,"中文, 英语",,,艺术
7682,莎士比亚和他的世界,,英国华威大学,简单（初级）,10 周,热度 564,英语,4月4日,,文学
2341,论文写作入门,,加州大学尔湾分校,简单（初级）,16 个小时,热度 978,"英语, 其他",,,语言
6003,语法和标点,,加州大学尔湾分校,简单（初级）,9 个小时,"热度 1,330","英语, 西班牙语, 其他",,,语言
1776,响应式 Web 设计,,伦敦大学,简单（初级）,15 个小时,热度 807,英语,,,计算机
10988,响应式网站基础：HTML、CSS 与 JavaScript,,伦敦大学,简单（初级）,14 个小时,"热度 1,551","英语, 其他",,,计算机
6203,iOS App 开发基础,,多伦多大学,普通（中级）,10 个小时,热度 834,英语,,,计算机
2176,Swift 程序设计入门,,多伦多大学,普通（中级）,10 个小时,热度 792,"中文, 英语, 韩语",,,计算机
11797,使用 Python 访问 Web 数据,,密歇根大学,简单（初级）,12 个小时,"热度 1,714",英语,,,计算机
17540,Python 数据结构,,密歇根大学,简单（初级）,9 个小时,"热度 1,744","中文, 英语",,,计算机
7913,Java 程序设计：使用软件解题,,杜克大学,简单（初级）,23 个小时,热度 978,"英语, 其他",,,计算机
11877,JavaScript，HTML 和 CSS 编程基础,,杜克大学,简单（初级）,19 个小时,热度 605,"英语, 其他",,,计算机
6352,利用 React 进行前端 Web 开发,,香港科技大学,普通（中级）,31 个小时,"热度 1,352",英语,,,计算机
11205,高级企业战略,,弗吉尼亚大学,简单（初级）,13 个小时,热度 426,"英语, 韩语, 其他",,,商业管理
16014,前端Web UI框架和工具：Bootstrap 4,,香港科技大学,普通（中级）,31 个小时,"热度 2,926",英语,,,计算机
3694,音乐商务基础,,伯克利音乐学院,简单（初级）,12 个小时,热度 523,英语,,,商业管理
2372,地心科学导论,,东京工业大学,简单（初级）,5 周,热度 415,英语,4月4日,,环境与地球
10387,理解食物,,加拿大麦吉尔大学,简单（初级）,10 周,热度 366,英语,,,其他
3832,债务可持续性分析,,国际货币基金组织,普通（中级）,6 周,热度 363,英语,4月4日,,金融
5165,悖论：思维的魔方,,北京大学,简单（初级）,25 个小时,"热度 2,386",中文,,,社会
11096,汉字,,北京大学,简单（初级）,27 个小时,"热度 1,169",中文,,,语言
18148,离散数学概论,,北京大学,简单（初级）,41 个小时,"热度 5,168",中文,,,数学与统计
13550,设计，运行和实验分析,,美国加州大学圣地亚哥分校,普通（中级）,23 个小时,热度 506,英语,,,计算机
7730,信息设计,,加州大学圣地亚哥分校,普通（中级）,9 个小时,热度 339,英语,,,计算机
1692,用户体验：研究与原型,,加州大学圣地亚哥分校,普通（中级）,11 个小时,热度 471,英语,,,计算机
16608,社交计算,,加州大学圣地亚哥分校,普通（中级）,11 个小时,热度 441,英语,,,计算机
12603,慕课问道,,北京大学,简单（初级）,5 周,热度 779,中文,,,教育
18912,画法几何与技术制图基础,,中国农业大学,普通（中级）,16 周,热度 803,中文,,国家精品,工程
18250,简明线性代数,,清华大学,简单（初级）,12 周,"热度 2,559",中文,,,数学与统计
1052,数据驱动型公司的业务指标,,杜克大学,简单（初级）,14 个小时,热度 781,"中文, 英语, 其他",,,商业管理
10259,数据管理与可视化,,卫斯连大学,简单（初级）,17 个小时,热度 418,"英语, 韩语",,,计算机
14746,数据分析工具,,卫斯连大学,简单（初级）,13 个小时,热度 396,英语,,,计算机
5870,工程力学导论,,乔治亚理工学院,难（高级）,10 个小时,热度 623,英语,,,物理
11604,游戏开发导论,,密歇根州立大学,普通（中级）,26 个小时,"热度 1,226",英语,,,计算机
8821,游戏设计导论,,加州艺术学院,简单（初级）,11 个小时,热度 575,"中文, 英语, 俄语",,,计算机
12417,开发Windows10 UWP Apps – 第1部分,,微软,普通（中级）,4 周,热度 843,英语,4月4日,,计算机
19888,开发Windows10 UWP Apps – 第2部分,,微软,普通（中级）,4 周,热度 263,英语,4月4日,,计算机
10153,开发Windows10 UWP Apps – 第3部分,,微软,普通（中级）,4 周,热度 283,英语,4月4日,,计算机
17849,思考、创造、代码,,澳大利亚阿德莱德大学,简单（初级）,6 周,热度 318,英语,5月5日,,计算机
16618,供应链设计,,麻省理工学院,难（高级）,13 周,热度 822,英语,,,商业管理
7207,大数据,,美国加州大学圣地亚哥分校,简单（初级）,5 个月,"热度 2,769","英语, 韩语, 其他",,专项课程,计算机
17325,面向对象的Java编程：数据结构,,美国加州大学圣地亚哥分校,普通（中级）,6 个月,"热度 3,414","中文, 英语, 韩语, 德语, 其他",,专项课程,计算机
1300,从 Excel 到 MySQL：商业分析技术,,杜克大学,简单（初级）,8 个月,"热度 4,988","中文, 英语, 韩语, 俄语, 其他",,专项课程,计算机
19763,财务会计概论（中文版）,,宾夕法尼亚大学,简单（初级）,23 个小时,"热度 4,051","中文, 英语, 西班牙语",,经典课程,金融
2190,瘟疫，巫婆，和战争：世界历史小说,,弗吉尼亚大学,简单（初级）,10 个小时,"热度 2,153",英语,,,历史
10824,商学导论,,清华大学,简单（初级）,16 周,"热度 1,147",中文,3月1日,,商业管理
1511,心理学导论,,多伦多大学,简单（初级）,32 个小时,"热度 1,183",英语,,,心理
11077,细读张爱玲,,国立清华大学,简单（初级）,10 周,"热度 1,505",中文,,,文学
16056,数学生物统计学入门 2,,约翰霍普金斯大学,普通（中级）,16 个小时,热度 709,英语,,,数学与统计
19723,神经科学基础（三）：大脑,,哈佛大学,简单（初级）,8 周,热度 814,英语,,,生物
5696,用数学模型给期权定价,,加州理工学院,普通（中级）,10 周,热度 510,英语,5月5日,,金融
3930,人事管理：激发你的员工,,英国雷丁大学,简单（初级）,10 周,热度 274,英语,5月5日,,商业管理
10762,数字故事：在线电影的制作,,英国伯明翰大学,简单（初级）,4 周,"热度 1,097",英语,,,艺术
6870,数据科学基础,,微软,普通（中级）,6 周,热度 410,英语,4月4日,,计算机
12943,国际法,,比利时鲁汶大学,难（高级）,10 周,热度 775,英语,,,法律
2939,空气动力学基础,,麻省理工学院,难（高级）,15 周,"热度 2,499",英语,4月4日,,物理
16484,生活英语听说,,清华大学,简单（初级）,10 周,"热度 6,696","中文, 英语",,,语言
19693,西游记,,台湾静宜大学,简单（初级）,9 周,热度 763,中文,,,文学
4612,世界建筑史,,麻省理工学院,简单（初级）,12 周,"热度 1,848",英语,4月4日,,建筑
7208,外国工艺美术史,,清华大学,简单（初级）,16 周,"热度 1,366",中文,,,历史
1551,有限元分析及应用,,清华大学,难（高级）,20 周,"热度 3,182",中文,,,数学与统计
17849,jQuery入门,,微软,普通（中级）,3 周,"热度 1,274",英语,1月1日,,计算机
8042,量子力学（上）,,清华大学,难（高级）,10 周,"热度 2,079",中文,,,物理
1293,财务管理,,伊利诺伊大学香槟分校,普通（中级）,7 个月,热度 489,"英语, 韩语, 其他",,专项课程,金融
5285,磁共振基础,,瑞士洛桑联邦理工学院,普通（中级）,7 周,热度 409,"英语, 法语",,,物理
7118,公司财务精要,,西班牙IESE商学院,简单（初级）,14 个小时,热度 618,"中文, 英语, 韩语",,,金融
6764,如何开展你的研究项目,,英国南安普顿大学,简单（初级）,8 周,热度 535,英语,3月4日,,其他
2146,音乐理论入门,,伯克利音乐学院,简单（初级）,6 周,"热度 1,579",英语,1月28日,,艺术
18805,创新与创业,,伯克利音乐学院,简单（初级）,4 周,热度 534,英语,1月28日,,商业管理
4120,光学工程基础,,清华大学,普通（中级）,16 周,"热度 1,124",中文,,,物理
18800,大学物理1：力学、相对论,,同济大学,简单（初级）,14 周,"热度 1,481",中文,,国家精品,物理
4124,新闻学概论,,英国思克莱德大学,简单（初级）,6 周,"热度 1,077",英语,,,社会
9969,C++语言程序设计基础,,清华大学,简单（初级）,8 周,"热度 9,685",中文,,,计算机
8241,中国近现代史纲要,,浙江大学,简单（初级）,12 周,"热度 2,404",中文,,国家精品,历史
8593,Python语言程序设计,,北京理工大学,简单（初级）,11 周,"热度 6,117",中文,,国家精品,计算机
8971,土木工程施工基本原理,,同济大学,难（高级）,23 周,"热度 2,466",中文,,,建筑
10622,电工学,,同济大学,普通（中级）,15 周,"热度 2,202",中文,,,电子
9485,软件工程专业导论,,哈尔滨工业大学,简单（初级）,18 周,"热度 1,142",中文,,国家精品,计算机
16233,工程材料与机械制造基础,,山东大学,普通（中级）,15 周,"热度 1,708",中文,,国家精品,工程
14468,微电子工艺,,哈尔滨工业大学,难（高级）,16 周,"热度 1,116",中文,,国家精品,电子
711,计算机网络,,哈尔滨工业大学,普通（中级）,18 周,"热度 4,047",中文,,国家精品,计算机
9003,通信原理,,国防科学技术大学,难（高级）,17 周,"热度 2,133",中文,,国家精品,电子
14004,C语言程序设计（上）,,北京理工大学,简单（初级）,20 周,"热度 4,323",中文,,,计算机
9422,工程图基础及数字化构型,,北京理工大学,普通（中级）,17 周,热度 532,中文,,,工程
887,数字信号处理,,电子科技大学,难（高级）,16 周,"热度 1,528",中文,,国家精品,电子
271,材料科学基础（下）,,西北工业大学,难（高级）,10 周,热度 626,中文,,国家精品,工程
2134,材料科学基础（上）,,西北工业大学,难（高级）,8 周,"热度 1,031",中文,,国家精品,工程
3119,非金融专业人士所需的金融知识,,加州大学尔湾分校,简单（初级）,7 个小时,"热度 1,283","中文, 英语, 韩语, 西班牙语, 其他",,,金融
7703,中医药与中华传统文化,,上海交通大学,简单（初级）,11 周,"热度 4,484",中文,,,医学健康
15566,发现 DNA 和蛋白质的突变（生物信息学 VI）,,加州大学圣地亚哥分校,简单（初级）,18 个小时,热度 412,英语,,,计算机
9070,基因组数据科学与聚类（生物信息学V）,,加州大学圣地亚哥分校,简单（初级）,9 个小时,热度 421,英语,,,计算机
17031,分子进化（生物信息学 IV）,,加州大学圣地亚哥分校,简单（初级）,17 个小时,热度 482,英语,,,计算机
12201,基因、蛋白质和基因组的对比（生物信息学 Ⅲ）,,加州大学圣地亚哥分校,简单（初级）,17 个小时,热度 497,英语,,,计算机
526,专案管理（入门篇）,,国立交通大学,简单（初级）,12 周,热度 555,中文,,,商业管理
6837,现代柯南-跟着玛斯一起探索检验世界,,慈济大学,简单（初级）,6 周,热度 495,中文,,,医学健康
9492,创意学经济,,台湾新竹交通大学,简单（初级）,16 周,"热度 1,717",中文,,,经济
5013,临床研究e点灵 -生物统计,,花莲慈济医院&慈济大学,简单（初级）,9 周,热度 611,中文,,,生物
10838,生物信息学方法 II,,多伦多大学,简单（初级）,11 个小时,"热度 1,411",英语,,,计算机
3546,生物信息学方法 I,,多伦多大学,简单（初级）,13 个小时,"热度 2,824",英语,,,计算机
2871,人群与网络,,北京大学,简单（初级）,24 个小时,"热度 2,407",中文,,,社会
6552,基因组测序（生物信息学 II）,,加州大学圣地亚哥分校,简单（初级）,15 个小时,热度 510,"中文, 英语",,,计算机
6828,发现 DNA 中的隐藏信息（生物信息学 I）,,加州大学圣地亚哥分校,简单（初级）,13 个小时,热度 693,英语,,,计算机
2248,生物信息学,,加州大学圣地亚哥分校,简单（初级）,11 个月,"热度 1,213","中文, 英语",,专项课程,计算机
9982,数字媒体与营销原则,,伊利诺伊大学香槟分校,简单（初级）,14 个小时,热度 489,英语,,,商业管理
18665,数字媒体与营销策略,,伊利诺伊大学香槟分校,简单（初级）,15 个小时,"热度 1,968",英语,,,商业管理
15938,企业财务决策的价值创造,,墨尔本大学,普通（中级）,14 个小时,热度 349,"英语, 韩语",,,金融
12975,离散优化建模基础篇,,香港中文大学 & 墨尔本大学,普通（中级）,17 个小时,热度 347,中文,,,计算机
14505,微软Azure架构解决方案,,微软,难（高级）,5 周,热度 328,英语,,,计算机
13803,有形事物：通过艺术品、手工艺品、科学标本和身边的物品发掘历史,,哈佛大学,简单（初级）,5 周,热度 969,英语,4月4日,,历史
8791,计算机图形学,,加州大学圣地亚哥分校,普通（中级）,6 周,"热度 6,683","中文, 英语",,,计算机
11877,创新时代：如何勇于创新,,德克萨斯大学休斯敦健康科学中心,简单（初级）,5 周,热度 391,英语,4月4日,,其他
9281,创新与IT管理,,印度管理学院,普通（中级）,4 周,热度 462,英语,2月21日,,商业管理
10741,创意编程,,澳大利亚蒙纳士大学,简单（初级）,6 周,热度 371,英语,,,计算机
15909,营养与健康：微量营养素和营养不良,,荷兰瓦赫宁根大学,普通（中级）,7 周,热度 379,英语,,,医学健康
19722,营养与健康：富营养素和营养不良,,荷兰瓦赫宁根大学,简单（初级）,8 周,"热度 1,792",英语,3月5日,,医学健康
19083,物流管理概论,,北京交通大学,简单（初级）,10 周,"热度 1,088",中文,,,商业管理
15626,慕课及翻转课堂设计制作实训,,上海交通大学,简单（初级）,11 周,热度 924,中文,,,教育
34,从音符到演奏：理解乐谱,,英国开放大学,简单（初级）,4 周,热度 773,英语,2月18日,,艺术
19390,物联网,,伦敦国王学院,简单（初级）,4 周,热度 571,英语,4月4日,,互联网
15303,数据结构基础,,北京大学,简单（初级）,31 个小时,"热度 3,523",中文,,,计算机
7217,计算机网络之危机四伏,,哈尔滨工业大学,简单（初级）,7 周,热度 986,中文,,,计算机
5385,教师如何做研究,,北京大学,普通（中级）,7 周,"热度 1,093",中文,,,教育
16279,建筑评论,,同济大学,简单（初级）,11 周,热度 811,中文,,国家精品,建筑
8932,信号与系统 第1部,,印度理工学院孟买分校,普通（中级）,10 周,热度 580,英语,4月4日,,电子
4509,网络安全概论,,英国开放大学,简单（初级）,8 周,热度 538,英语,3月11日,,互联网
16114,面向 Android 的 Java,,范德堡大学,简单（初级）,29 个小时,热度 657,英语,,,计算机
10567,现代生物学导论,,清华大学,简单（初级）,15 周,"热度 1,036",中文,,,生物
7983,汽车碰撞安全基础,,清华大学,普通（中级）,21 周,热度 847,中文,,,工程
18944,走进医学,,清华大学,简单（初级）,10 周,热度 833,"中文, 英语",4月4日,,医学健康
4596,爵士乐欣赏,,德克萨斯大学奥斯汀分校,简单（初级）,10 周,热度 586,英语,,,艺术
2107,宗教和嘻哈文化,,莱斯大学,简单（初级）,10 周,热度 673,英语,,,宗教
14030,视觉传达设计思维与方法,,清华大学,简单（初级）,9 周,"热度 2,470",中文,,,艺术
17052,汽车造型设计二维表达,,清华大学,普通（中级）,11 周,热度 599,中文,,,工程
4168,数字媒体和移动应用的创意编程,,伦敦大学,普通（中级）,26 个小时,热度 750,"英语, 其他",,,计算机
1713,哲学与科学：物理科学哲学导论,,爱丁堡大学,普通（中级）,7 个小时,热度 676,英语,,,哲学
15565,学习在线教学,,澳大利亚新南威尔士大学,简单（初级）,18 个小时,热度 455,英语,,,教育
7206,比特币和数字货币技术,,普林斯顿大学,简单（初级）,18 个小时,"热度 2,277",英语,,,金融
3266,金融分析语言和工具,,墨尔本大学,普通（中级）,14 个小时,热度 591,英语,,,金融
10809,理解爱因斯坦：狭义相对论,,斯坦福大学,难（高级）,40 个小时,"热度 1,573",英语,1月7日,,物理
5542,突触，神经元和大脑,,希伯来大学,简单（初级）,31 个小时,"热度 2,178",英语,,,生物
17594,英语语法和写作风格,,昆士兰大学,简单（初级）,8 周,"热度 1,590",英语,4月4日,,语言
11665,太极拳医学,,四川大学,简单（初级）,10 周,"热度 1,154",中文,,国家精品,医学健康
3372,模拟电路基础,,电子科技大学,普通（中级）,16 周,"热度 2,787",中文,,国家精品,电子
15542,局部解剖学,,山东大学,普通（中级）,17 周,热度 793,中文,,国家精品,医学健康
14924,投资 I：绩效评估基础,,伊利诺伊大学香槟分校,普通（中级）,29 个小时,热度 749,英语,,,金融
5438,估价和投资的各种方法,,墨尔本大学,普通（中级）,13 个小时,热度 418,英语,,,金融
7443,战略业务管理 – 宏观经济学,,加州大学尔湾分校,简单（初级）,36 个小时,"热度 3,784",英语,,,经济
12642,爱因斯坦的革命,,哈佛大学,简单（初级）,14 周,"热度 1,047",英语,,,历史
3448,科学和烹饪：从美味佳肴到软物质科学,,哈佛大学,简单（初级）,16 周,热度 677,英语,,,其他
4122,流行病学基础（上）,,北京大学,简单（初级）,20 个小时,热度 586,中文,,,医学健康
7476,东坡词,,国立台湾大学,简单（初级）,17 个小时,"热度 2,025",中文,,,文学
13682,人类起源,,亚利桑那州立大学,简单（初级）,8 周,热度 641,英语,,,历史
