编号,标题,,机构,难度,学时,热度,语言,开课日期,副标题,学科
19945,Python 3 数据分析Data Science零基础完全入门,,Peng Xiao,简单（初级）,6 个小时,热度 440,中文,,,计算机
3571,给C# 开发人员的第一堂.NET Core 入门课,,Will,简单（初级）,2 个小时,热度 158,中文,,,计算机
19980,一天学会DevOps 自动化测试及部署,,Bo-Yi Wu,简单（初级）,6 个小时,热度 166,中文,,,计算机
8125,区块链之以太坊 (PoW + PoS 算法 + 设计原理 + Solidity合约安全),,Junji Zhi,简单（初级）,3 个小时,热度 153,中文,,,计算机
15536,无痛起步，用WordPress打造自己的网路商店,,CHE-WEI HSU,简单（初级）,3 个小时,热度 108,中文,,,计算机
3131,Git/GitHub/GitLab完全教程2018,,士豪邱,简单（初级）,6 个小时,热度 136,中文,,,计算机
18611,Unity3d游戏设计使用C#,,士豪邱,简单（初级）,13 个小时,热度 141,中文,,,计算机
12087,轻松学习R 语言,,Yao-Jen Kuo,简单（初级）,4 个小时,热度 170,中文,,,计算机
5834,深入浅出了解Javascript,,Ken Cen,简单（初级）,10 个小时,热度 356,中文,,,计算机
5998,Language-Integrated Query 快速上手( C# ) (LINQ),,Will,简单（初级）,2 个小时,热度 112,中文,,,计算机
3555,Web前端开发 – 玩转JavaScript 【以实战为基础】,,yz z,简单（初级）,24 个小时,热度 169,中文,,,计算机
4732,Visual Studio 2017 开发环境全面解析,,Will,简单（初级）,4 个小时,热度 174,中文,,,计算机
7244,"Python 3零基础完全入门（面向2019, Python3.6.7全部重新录制）",,Peng Xiao,简单（初级）,9 个小时,热度 648,中文,,,计算机
19016,NodeJS 前后端开发实战,,六角学院,简单（初级）,15 个小时,热度 143,中文,,,计算机
17139,Angular 开发实战：从零开始,,Will,简单（初级）,15 个小时,热度 131,中文,,,计算机
17873,Python 入门到制作股市分析,,Louis Ho,简单（初级）,8 个小时,热度 295,中文,,,计算机
674,Python 与数据科学入门,,六角学院,简单（初级）,3 个小时,热度 265,中文,,,计算机
1708,全端初体验,,Taker Wu,简单（初级）,21 个小时,热度 100,中文,,,计算机
3189,Web前端开发 – 玩转HTML&CSS,,yz z,简单（初级）,18 个小时,热度 214,中文,,,计算机
9593,一变应万变的响应式网页设计,,六角学院,普通（中级）,8 个小时,热度 122,中文,,,计算机
12992,Vue 出一个电商网站,,六角学院,普通（中级）,15 个小时,热度 157,中文,,,计算机
19580,Python – 轻松学会写程序,,Allen Liu,简单（初级）,16 个小时,热度 250,中文,,,计算机
18706,苹果手机编程(V2.0) – 使用IOS12 & Swift4 – 编写19个真实程序,,六角学院,简单（初级）,36 个小时,热度 245,中文,,,计算机
15109,精通Bootstrap 4 – 开发超强不解释,,六角学院,简单（初级）,11 个小时,热度 142,中文,,,计算机
18615,掌握 Git & Github 程式时光机,,六角学院,普通（中级）,4 个小时,热度 110,中文,,,计算机
8998,使用jQuery 打造互动性网页动画效果,,六角学院,简单（初级）,6 个小时,热度 165,中文,,,计算机
17339,SQL/MySQL零基础从入门到精通,,慕课台湾,简单（初级）,10 个小时,热度 227,中文,,,计算机
14541,JavaScript 全攻略：克服 JS 的奇怪部分,,慕课台湾,简单（初级）,11 个小时,热度 179,中文,,,计算机
4785,JavaScript 入门篇 – 学徒的试炼,,六角学院,普通（中级）,15 个小时,热度 224,中文,,,计算机
16419,使用 HTML、CSS 开发一个网站,,六角学院,简单（初级）,8 个小时,热度 146,中文,,,计算机
15158,"建网百科全书-使用 HTML,CSS,JS, jQuery,php,mySQL 建立网站",,Ken Cen,简单（初级）,33 个小时,热度 178,中文,,,计算机
5770,深入浅出 iPhone 开发 (使用 Swift4),,Wei Wei,简单（初级）,36 个小时,热度 147,中文,,,计算机
7329,学术听力和笔记,,加州大学尔湾分校,普通（中级）,27 个小时,热度 365,"中文, 英语, 其他",1月4日,,语言
16816,高级写作,,加州大学尔湾分校,普通（中级）,15 个小时,热度 340,"中文, 英语, 其他",1月4日,,语言
15771,演讲：说话让人们倾听,,加州大学尔湾分校,普通（中级）,19 个小时,热度 375,"中文, 英语",1月4日,,语言
8440,翻译实践,,南京大学,简单（初级）,24 个小时,热度 304,"中文, 英语",1月4日,,语言
19712,商务英语课程:财经英语,,亚利桑那州立大学,普通（中级）,19 个小时,热度 212,"中文, 英语, 其他",1月4日,,语言
